candidate_id,Tech_Fit,Context_Fit,Behavior_Fit,Profile_Strength_Score,Final_Score_NDCG,rank_score,rank,reasoning
CAND_0068932,4,4,4,79,4,4.0,1,Built production recommendation features using collaborative filtering and gradient-boosted re-ranking at a mid-stage AI startup; used Milvus for vector storage but no direct retrieval/ranking evaluation metrics; 5.2y exp; Noida-based; notice 30d.
CAND_0002025,4,4,4,91,4,4.0,2,"Built a production recommendation system at Apple marketplace in 5 months, transitioning from offline experiments to live A/B tests; also fine-tuned LLaMA-2 and Mistral for candidate-JD matching with 200K high-quality pairs; strong FAISS, TensorFlow, and OpenSearch expertise. [5.9y exp; Trivandrum-based; notice 30d]"
CAND_0082973,4,4,3,83,4,3.8000000000000003,3,"Built computer vision models for image moderation using PyTorch and ResNet variants on 200K images, with production inference service; also built lightweight recommendation features at a voice AI startup using collaborative filtering and gradient-boosted re-ranking, though no direct retrieval/ranking evaluation metrics provided. [6.4y exp; Chandigarh-based; notice 60d]"
CAND_0062772,4,4,3,88,4,3.8000000000000003,4,"Contributed to ML feature engineering and production deployment of a fraud-detection system at an EdTech company, with strong vector search and ranking experience in e-commerce; 90-day notice, not open to work. [6.6y exp; Trivandrum-based; notice 90d]"
CAND_0083852,4,4,3,80,4,3.8000000000000003,5,Worked on time-series forecasting for supply-chain demand prediction at a logistics company with LightGBM models shipping and ran reinforcement learning for dynamic pricing; also built production recommendation-style features at a gaming startup using collaborative filtering and gradient-boosted re-ranking; strong ML and retrieval-adjacent experience but no direct ranking evaluation metrics. [6y exp; Ahmedabad-based; notice 90d]
CAND_0053605,4,3,4,74,4,3.7,6,"Built production recommendation features using collaborative filtering and gradient-boosted re-ranking at a conversational AI startup, with a strong technical background in ML, LangChain, and pgvector; 6.9y exp; Noida-based; notice 30d."
CAND_0080534,4,3,4,79,4,3.7,7,"Built production recommendation-style features using collaborative filtering and gradient-boosted re-ranking at a mid-stage AI startup (37 months), with 8 months of recent AI specialization; strong Elasticsearch/OpenSearch and Haystack experience, but no direct retrieval/ranking evaluation metrics. [3.8y exp; Vizag-based; notice 30d]"
CAND_0099269,4,4,2,85,4,3.6,8,"Built production-scale recommendation-style features at a mid-stage EdTech startup using collaborative filtering and gradient-boosted re-ranking, with 25 months of ML experience; 40 months of junior ML engineering experience in fraud detection, but no direct retrieval/ranking evaluation metrics; long notice (120 days). [5.5y exp; Noida-based; notice 120d]"
CAND_0096142,4,4,2,89,4,3.6,9,"Trained and deployed XGBoost and LightGBM ranking models for 10M+ user content discovery at EdTech firms; strong retrieval and ranking experience with Weaviate, Pinecone, and LoRA; 5y exp; Hyderabad-based; notice 120d."
CAND_0068777,4,4,2,78,4,3.6,10,"Contributed to ML feature engineering and model deployment for fraud detection at PolicyBazaar and TCS, with strong engineering focus on API and observability layers; no direct retrieval/ranking experience or production-level evaluation metrics; long notice (120 days) and not actively looking. [6.6y exp; Jaipur-based; notice 120d]"
