candidate_id,Tech_Fit,Context_Fit,Behavior_Fit,Profile_Strength_Score,Final_Score_NDCG,rank_score,rank,reasoning
CAND_0068932,4,4,4,79,4,4.0,1,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [5.2y exp; Noida, Uttar Pradesh-based]"
CAND_0002025,4,4,4,91,4,4.0,2,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. [5.9y exp; Trivandrum, Kerala-based]"
CAND_0082973,4,4,3,83,4,3.8000000000000003,3,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [6.4y exp; Chandigarh, Chandigarh-based]"
CAND_0062772,4,4,3,88,4,3.8000000000000003,4,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.6y exp; Trivandrum, Kerala-based; notice 90d]"
CAND_0083852,4,4,3,80,4,3.8000000000000003,5,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [6.0y exp; Ahmedabad, Gujarat-based; notice 90d]"
CAND_0053605,4,3,4,74,4,3.7,6,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [6.9y exp; Noida, Uttar Pradesh-based]"
CAND_0080534,4,3,4,79,4,3.7,7,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.8y exp; Vizag, Andhra Pradesh-based]"
CAND_0099269,4,4,2,85,4,3.6,8,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [5.5y exp; Noida, Uttar Pradesh-based; notice 120d]"
CAND_0096142,4,4,2,89,4,3.6,9,"Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. [5.0y exp; Hyderabad, Telangana-based; notice 120d]"
CAND_0068777,4,4,2,78,4,3.6,10,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.6y exp; Jaipur, Rajasthan-based; notice 120d]"
CAND_0099751,4,4,2,85,4,3.6,11,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [5.5y exp; Chennai, Tamil Nadu-based; notice 120d]"
CAND_0073917,4,4,2,65,3,3.6,12,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [5.8y exp; Bhubaneswar, Odisha-based; notice 90d]"
CAND_0087630,4,4,2,85,4,3.6,13,"Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. [7.2y exp; Gurgaon, Haryana-based]"
CAND_0019845,4,3,3,56,2,3.5,14,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.4y exp; Pune, Maharashtra-based]"
CAND_0015065,4,3,3,77,4,3.5,15,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [3.9y exp; Delhi, Delhi-based; notice 90d]"
CAND_0072091,4,3,3,73,4,3.5,16,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [4.6y exp; Trivandrum, Kerala-based]"
CAND_0007596,4,3,3,73,4,3.5,17,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.4y exp; Delhi, Delhi-based]"
CAND_0078002,4,3,3,87,4,3.5,18,"Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. [6.3y exp; Coimbatore, Tamil Nadu-based]"
CAND_0016678,4,3,3,62,2,3.5,19,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.8y exp; Bhubaneswar, Odisha-based; notice 90d]"
CAND_0076251,3,4,3,64,3,3.3000000000000003,20,"Mentored a junior engineer through their first end-to-end ML project last year. [7.6y exp; Bhubaneswar, Odisha-based]"
